ID,Symbol,Total count,V$JUNFRA1_01,V$JUNFRA2_01,V$JUN_06,V$AP1_Q4_01,V$ERM_03,V$ETV5HOXA2_01,V$AP1_01,V$JUNB_04,V$AP1_Q6_01,V$RAD21_01,V$CFOSCJUN_Q5,V$JUNB_05,V$ETV5DLX2_01,V$JUNFOSB_01,V$SMAD3_02,V$JUN_11,V$FOXM1_Q3,V$HDAC2_02,V$JUN_03,V$JUNB_Q6,V$JUNB_01,V$ETV5DRGX_01,V$JUN_08,V$ETV5ETV7_01,V$AP1_02,V$RAD21_04,V$BATFJUN_01,V$JUNB_07,V$JUNBFRA2_01,V$JUNBFOS_01,V$JUNBFOSB_01,V$ETV5FOXO1_02,V$CJUN_Q6,V$JUNB_02,V$ETV5TCF3_01,V$RAD21_10,V$ERM_05,V$ETV5FIGLA_01,V$ETV5EOMES_01,V$SMAD3_04,V$ETV5HES7_01,V$HDAC2_04,V$RAD21_11
ENSG00000103275,UBE2I,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,23,24,23,0,0,34,11,4,30,0,34,7,37,23,3
ENSG00000154229,PRKCA,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,15,2,30,10,62,62,10
ENSG00000069399,BCL3,191,2,2,1,1,0,0,3,2,2,0,2,2,0,2,0,1,0,0,0,2,2,0,4,0,4,1,4,4,4,4,4,0,3,4,15,20,15,5,24,17,19,3,13
ENSG00000116670,MAD2L2,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,16,5,35,11,47,38,12
ENSG00000140443,IGF1R,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,4,12,3,1,22,5,58,67,8
ENSG00000148498,PARD3,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,20,19,3,27,14,41,33,16
ENSG00000196498,NCOR2,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,12,4,23,13,46,47,10
ENSG00000105229,PIAS4,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,16,9,9,21,11,48,38,13
ENSG00000136603,SKIL,171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,8,5,28,14,33,52,9
ENSG00000108854,SMURF2,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,13,16,3,20,15,40,32,14
ENSG00000132470,ITGB4,166,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,2,0,2,0,2,2,2,2,2,0,2,2,7,24,10,3,27,7,33,20,9
ENSG00000067606,PRKCZ,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,18,1,6,30,10,45,33,12
